Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Asian Journal of Pharmaceutical and Clinical Research,http://ajpcr.com/index.htm,,0974-2441,,,,
"Journal of Emergencies, Trauma and Shock",http://www.onlinejets.org/,,0974-2700,0974-519X,,,CC BY-NC-SA
Journal of Laboratory Physicians,http://www.jlponline.org,JLP,0974-2727,0974-7826,,,CC BY-NC-SA
International Journal of Cyber Criminology,http://www.cybercrimejournal.com,IJCC,0974-2891,,,,CC BY-NC-SA
CytoJournal,http://www.cytojournal.com/,,0974-5963,1742-6413,,,CC BY-NC-SA
Oman Journal of Ophthalmology,http://www.ojoonline.org/,,0974-620X,0974-7842,,,CC BY-NC-SA
Journal of Carcinogenesis,http://www.carcinogenesis.com/,,0974-6773,1477-3163,,,CC BY-NC-SA
Journal of Global Infectious Diseases,http://www.jgid.org/,,0974-777X,0974-8245,,,CC BY-NC-SA
Urology Annals,http://www.urologyannals.com/,,0974-7796,0974-7834,,,CC BY-NC-SA
Open Access Journal of Medicinal and Aromatic Plants,http://epubs.icar.org.in/ejournal/index.php/JMAP,,0974-7877,,,,CC BY
Journal of Threatened Taxa,http://threatenedtaxa.org/,,0974-7893,0974-7907,,,
Journal of Reliability and Statistical Studies,http://www.jrss.in/,JRSS,0974-8024,2229-5666,,,
Journal of Craniovertebral Junction and Spine,http://www.jcvjs.com,,0974-8237,0976-9285,,,CC BY-NC-SA
Middle East African Journal of Ophthalmology,http://www.meajo.org/,,0974-9233,0975-1599,,,CC BY-NC-SA
International Journal of Advanced Networking and Applications,http://www.ijana.in,IJANA,0975-0290,0975-0282,,,
Pravara Medical Review,http://www.pravara.com/pmrjournal.html,,0975-0533,0976-0164,,,
Journal of Scientific Review,http://www.srbmag.org/index.php/srbmag,,0975-0754,,,,CC BY
Shodh Sanchayan,http://www.shodh.net/index.php?option=com_content&view=article&id=5&Itemid=44,,0975-1254,2249-9180,,,
Journal of Forensic Dental Sciences ,http://www.jfds.org/currentissue.asp,,0975-1475,0975-2137,,,CC BY-NC-SA
Journal of Young Pharmacists,http://www.jyoungpharm.org,,0975-1483,0975-1505,Yes,http://jyoungpharm.org,CC BY-NC-SA
International Journal of Pharmacy and Pharmaceutical Sciences,http://ijppsjournal.com/index.htm,,0975-1491,,,,
International Journal of Computer Networks & Communications ,http://airccse.org/journal/ijcnc.html,IJCNC,0975-2293,0974-9322,,,CC BY
International Journal of Network Security & Its Applications,http://airccse.org/journal/ijnsa.html,IJNSA,0975-2307,0974-9330,,,CC BY
International Journal of Pharmaceutical Sciences and Drug Research,http://www.ijpsdr.com/index.htm,,0975-248X,,,,
Rupkatha Journal on Interdisciplinary Studies in Humanities,http://www.rupkatha.com,,0975-2935,,,,CC BY-NC-SA
International Journal on Computer Science and Engineering,http://www.enggjournals.com/ijcse/,,0975-3397,,,,CC BY
International Journal of Engineering and Technology,http://www.enggjournals.com/ijet/,,0975-4024,,,,CC BY
International Journal of Computer Science & Information Technology,http://airccse.org/journal/ijcsit.html,IJCSIT,0975-4660,0975-3826,,,CC BY
International Journal of Wireless & Mobile Networks ,http://airccse.org/journal/ijwmn.html,IJWMN,0975-4679,0975-3834,,,CC BY
International Journal of Engineering Science and Technology,http://www.ijest.info/index.php,IJEST,0975-5462,,,,CC BY
International Journal of Managing Information Technology,http://airccse.org/journal/ijmit/ijmit,,0975-5926,0975-5586,,,CC BY
International Journal of Multimedia & Its Applications ,http://airccse.org/journal/ijma.html,IJMA,0975-5934,0975-5578,,,CC BY
International Journal of Database Management Systems ,http://airccse.org/journal/ijdms/ijdms.html,IJDMS,0975-5985,0975-5705,,,CC BY
International Journal of Next-Generation Networks ,http://www.airccse.org/journal/ijngn/ijngn,IJNGN,0975-7252,0975-7023,,,CC BY
International Journal on Applications of Graph Theory in Wireless ad hoc Networks and Sensor Networks ,http://airccse.org/journal/graphhoc/GRAPH-HOC.html,GRAPH-HOC,0975-7260,0975-7031,,,CC BY
International Journal of Pharmaceutical Sciences and Research,http://www.ijpsr.com,IJSPR : International Journal of Pharmaceutical Sciences & Research,0975-8232,,,,CC BY-NC-SA
Journal of Orofacial Sciences,http://www.jofs.in,,0975-8844,2320-4737,,,
Chronicles of Young Scientists,http://www.cysonline.org,,0975-9212,,,,CC BY-NC-SA
Electronic Journal of Plant Breeding,http://sites.google.com/site/ejplantbreeding/home,EJPB,0975-928X,,,,
International Journal of Drug Development & Research,http://www.ijddr.in,IJDDR,0975-9344,,,,
Journal of Ayurveda and Integrative Medicine,http://www.jaim.in,J-AIM,0975-9476,0976-2809,,,CC BY-NC-SA
International Journal of Pharma Sciences and Research ,http://www.ijpsr.info/,,0975-9492,,,,CC BY-SA
ICTACT Journal on Communication Technology,http://ictactjournals.in/IJCT/AboutIJCT.aspx,IJCT,0976-0091,2229-6948,,,CC BY-NC-SA
Lifesciences Leaflets,http://lifesciencesleaflets.blogspot.com/,,0976-1098,,,,
Oral & Maxillofacial Pathology Journal ,http://www.ompj.org,OMPJ : Oral and Maxillofacial Pathology Journal ,0976-1225,2322-0384,,,
International Journal of VLSI Design & Communication Systems ,http://airccse.org/journal/vlsi/vlsics.html,,0976-1527,0976-1357,,,CC BY
International Journal of Artificial Intelligence & Applications,http://www.airccse.org/journal/ijaia/ijaia,IJAIA,0976-2191,0975-900X,,,CC BY
"International Journal of Ad Hoc, Sensor & Ubiquitous Computing ",http://airccse.org/journal/ijasuc/ijasuc.html,IJASUC,0976-2205,0976-1764,,,CC BY
International Journal of UbiComp ,http://www.airccse.org/journal/iju/index.html,IJU,0976-2213,0975-8992,,,CC BY
International Journal of Software Engineering & Applications ,http://www.airccse.org/journal/ijsea/ijsea,IJSEA,0976-2221,0975-9018,,,CC BY
International Journal of Web & Semantic Technology ,http://airccse.org/journal/ijwest/ijwest.html,IJWesT,0976-2280,0975-9026,,,CC BY
"Trade, Law and Development",http://www.tradelawdevelopment.com/,TL&D,0976-2329,0975-3346,,,CC BY-NC-ND
Contemporary Clinical Dentistry,http://www.contempclindent.org/,,0976-237X,0976-2361,,,CC BY-NC-SA
International Journal of Advanced Biotechnology and Research,http://bipublication.com/IJABR-biotechnology_journals.html,,0976-2612,2278-599X,,,
Journal of Dental Sciences and Research,http://ssdctumkur.org/jdsr.php,JDSR,0976-2841,,,,
The IIOAB Journal,http://www.iioab-journal.webs.com/,,0976-3104,,,,
Journal of Neurosciences in Rural Practice,http://www.ruralneuropractice.com,JNRP,0976-3147,0976-3155,,,CC BY-NC-SA
International Journal of Computer Science and Engineering Survey ,http://airccse.org/journal/ijcses/index.html,IJCSES : International journal of Computer Science & Engineering Survey,0976-3252,0976-2760,,,CC BY
National Journal of Community Medicine,http://www.njcmindia.org,,0976-3325,2229-6816,,,CC BY-SA
International Journal of Educational Research and Technology,http://www.soeagra.com/ijert/ijert.htm,,0976-4089,2277-1557,,,
International Journal of Applied Biology and Pharmaceutical Technology,http://www.ijabpt.com,IJABPT,0976-4550,,,,
Pharmacognosy Research,http://www.phcogres.com/,,0976-4836,0974-8490,,,CC BY-NC-SA
Journal of Pharmacy and Bioallied Sciences,http://www.jpbsonline.org/,,0976-4879,0975-7406,,,CC BY-NC-SA
Journal of Pharmacology and Pharmacotherapeutics,http://www.jpharmacol.com,,0976-500X,0976-5018,,,CC BY-NC-SA
Indian Journal of Computer Science and Engineering,http://www.ijcse.com/index.html,IJCSE,0976-5166,,,,CC BY
ICTACT Journal on Soft Computing,http://ictactjournals.in/IJSC/AboutIJSC.aspx,IJSC,0976-6561,2229-6956,,,CC BY-NC-SA
Journal of Advanced Laboratory Research in Biology,http://www.sospublication.co.in/jalrb.php?jid=1,,0976-7614,,,,
Journal of Mid-Life Health,http://www.jmidlifehealth.org,,0976-7800,0976-7819,,,CC BY-NC-SA
ICTACT Journal on Image and Video Processing,http://ictactjournals.in/IJIVP/AboutIJIVP.aspx,IJIVP,0976-9099,0976-9102,,,CC BY-NC-SA
Annales Geophysicae,http://www.annales-geophysicae.net,ANGEO,0992-7689,1432-0576,Yes,http://www.annales-geophysicae.net/about/article_level_metrics.html,CC BY
Cahiers de Narratologie,http://narratologie.revues.org/,,0993-8516,1765-307X,,,
Revue des Mondes Musulmans et de la Méditerranée,http://remmm.revues.org/,REMMM ,0997-1327,2105-2271,,,
Genetics Selection Evolution,http://www.gsejournal.org/home,,0999-193X,1297-9686,,,CC BY
Chinese Journal of Cancer,http://www.cjcsysu.com,,1000-467X,1944-446X,,,
Journal of Shanghai Normal University (Natural Sciences),http://qktg.shnu.edu.cn/zrb/ch/index.aspx,,1000-5137,,,,CC BY-SA
Tongweisu,http://www.tws.org.cn,Journal of Isotopes,1000-7512,,Yes,http://www.tws.org.cn/CN/article/showDownloadTopList.do,CC BY-NC-ND
Chinese Journal of Aeronautics,http://www.journals.elsevier.com/chinese-journal-of-aeronautics/,,1000-9361,,,,CC BY-NC-ND
Acta Geodaetica et Cartographica Sinica,http://xb.sinomaps.com:8081/Jwk_chxb/CN/volumn/home.shtml,,1001-1595,,Yes,http://xb.sinomaps.com:8081/Jwk_chxb/CN/article/showDownloadTopList.do,CC BY-NC-ND
Journal of Infrared and Millimeter Waves ,http://journal.sitp.ac.cn/hwyhmb/hwyhmben/ch/index.aspx,JIRMW,1001-9014,,,,CC BY-NC-SA
Progress in Natural Science: Materials International,http://www.journals.elsevier.com/progress-in-natural-science-materials-international,,1002-0071,,,,CC BY-NC-ND
Shanghai Archives of Psychiatry,http://www.saponline.org/en,,1002-0829,,,,
Biodiversity Science,http://www.biodiversity-science.net/EN/volumn/home.shtml,Shengwu Duoyangxing,1005-0094,,,,CC BY-NC-ND
High Technology Letters,http://hitech863.hitech863.com/eindex.asp,,1006-6748,,,http://hitech863.hitech863.com/eindex.asp,CC BY
Journal of Harbin University of Science and Technology,http://hlgxb.hrbust.edu.cn/OA/,,1007-2683,,Yes,http://hlgxb.hrbust.edu.cn/OA/,CC BY
Chinese Journal of Traumatology,http://www.cjtrauma.com/,,1008-1275,,,http://www.cjtrauma.com/apps/ojs/index.php/cjt/issue/current,CC BY-NC-ND
Journal of Hebei University of Science and Technology,http://xuebao.hebust.edu.cn/hbkjdxen/ch/index.aspx,Hebei Ke-ji Daxue Xuebao,1008-1542,,Yes,http://xuebao.hebust.edu.cn/hbkjdxen/ch/index.aspx,CC BY
Asian Journal of Andrology,http://www.ajandrology.com,NA,1008-682X,1745-7262,Yes,http://www.medknow.com/statistics.asp,CC BY-NC-SA
Journal of Zhejiang University: Agriculture and Life Sciences,http://www.journals.zju.edu.cn/agr/EN/volumn/current.shtml,,1008-9209,,Yes,http://www.journals.zju.edu.cn/agr/EN/volumn/current.shtml,CC BY
Chinese Journal of Lung Cancer,http://www.lungca.org,Zhongguo fei'ai zazhi,1009-3419,1999-6187,,,CC BY
Revista Ciencias Técnicas Agropecuarias,http://www.redalyc.org/revista.oa?id=932,,1010-2760,2071-0054,,,
"TYCHE – Contributions to Ancient History, Papyrology and Epigraphy",http://tyche-journal.at/tyche,"TYCHE – Beiträge zur Alten Geschichte, Papyrologie und Epigraphik",1010-9161,2409-5540,,,CC BY
Old Testament Essays,http://otwsa-otssa.org.za/ote/index.php/journal,OTE,1010-9919,2312-3621,,,CC BY
Uniciencia,http://www.revistas.una.ac.cr/index.php/uniciencia/index,,1011-0275,2215-3470,,http://www.revistas.una.ac.cr/index.php/uniciencia/pages/view/estadisticas,CC BY-NC-ND
Speculum : Zeitschrift für Gynäkologie und Geburtshilfe,http://www.kup.at/journals/speculum/index.html,,1011-8772,1810-4797,,,
Opción,http://www.redalyc.org/revista.oa?id=310,,1012-1587,,,,
Pythagoras,http://www.pythagoras.org.za,,1012-2346,2223-7895,,,CC BY
South African Journal of Industrial Engineering,http://sajie.journals.ac.za,,1012-277X,2224-7890,,,
Terra Nueva Etapa,http://www.redalyc.org/revista.oa?id=721,,1012-7089,,,,
Journal of Educational Media & Library Sciences,http://joemls.tku.edu.tw,教育資料與圖書館學,1013-090X,,,,CC BY-NC-SA
Bangladesh Agronomy Journal,http://banglajol.info/index.php/BAJ,,1013-1922,2412-5830,,,CC BY-NC-ND
Annals of the University of Bucharest: Geography Series,http://annalsreview.geo.unibuc.ro/index.html ,Analele Universitatii Bucuresti: Geografie,1013-4115,2247-238X,,,CC BY-NC-ND
Saudi Dental Journal,http://www.journals.elsevier.com/the-saudi-dental-journal/,,1013-9052,1658-3558,,,CC BY-NC-ND
South African Computer Journal,http://sacj.cs.uct.ac.za/,SACJ,1015-7999,2313-7835,,,CC BY-NC
Cellular Physiology and Biochemistry,http://www.karger.com/cpb,,1015-8987,1421-9778,,,CC BY-NC
Mass Communication Research,http://mcr.nccu.edu.tw/,,1016-1007,,,,CC BY-NC-ND
Musicologia Austriaca,http://www.musau.org/,Journal for Austrian Music Studies,1016-1066,,,,CC BY
Archiva Zootehnica,http://www.ibna.ro/arhiva/arhiva.php,,1016-4855,,,,
Journal of the Saudi Heart Association,http://www.journals.elsevier.com/journal-of-the-saudi-heart-association/,,1016-7315,,,,CC BY-NC-ND
Areté : Revista de Filosofía,http://revistas.pucp.edu.pe/arete,,1016-913X,2223-3741,,,CC BY
Espacio y Desarrollo,http://revistas.pucp.edu.pe/index.php/espacioydesarrollo/,,1016-9148,,,,CC BY
"Terrestrial, Atmospheric and Oceanic Sciences",http://tao.cgu.org.tw,TAO,1017-0839,,Yes,http://tao.cgu.org.tw/index.php?left=19&center=20,CC BY
Studies in Chinese Linguistics,http://www.degruyter.com/view/j/scl,,1017-1274,,,,CC BY-NC-ND
Journal of the Faculty of Veterinary Medicine ,http://vfdergi.yyu.edu.tr/,,1017-8422,1308-3651,,,
Acta Orthopaedica et Traumatologica Turcica,http://www.aott.org.tr,,1017-995X,,,,
Revista Română de Statistică,http://www.revistadestatistica.ro/,Romanian Statistical Review,1018-046X,1844-7694,,,
Österreichisches Religionspädagogisches Forum,http://unipub.uni-graz.at/oerf,,,1018-1539,,,CC BY-NC
Journal of King Saud University: Engineering Sciences,http://www.journals.elsevier.com/journal-of-king-saud-university-engineering-sciences/,,1018-3639,,,,CC BY-NC-ND
Journal of King Saud University: Science,http://www.journals.elsevier.com/journal-of-king-saud-university-science/,,1018-3647,,,,CC BY-NC-ND
Türk Patoloji Dergisi ,http://www.turkjpath.org/index.php3?70a15d0fef3cea43c417a45edd618ac4,Turkish Journal of Pathology,1018-5615,1309-5730,,,
In die Skriflig,http://www.inluceverbi.org.za,In Luce Verbi ,1018-6441,2305-0853,,,CC BY
Journal of Animal and Plant Sciences,http://www.thejaps.org.pk,JAPS,1018-7081,,,,
Turkderm,http://journal.turkderm.org.tr/jvi.aspx,Archives of the Turkish Dermatology and Venerology,1019-214X,,,,CC BY-NC
Journal of the South African Veterinary Association,http://www.jsava.co.za,,1019-9128,2224-9435,,,CC BY
Educación,http://revistas.pucp.edu.pe/index.php/educacion,,1019-9403,2304-4322,,,CC BY
Revista Reflexiones,http://www.reflexiones.fcs.ucr.ac.cr,,1021-1209,1659-2859,,,
Papers on Social Representations,http://www.psych.lse.ac.uk/psr/,Textes sur les Représentations Sociales,1021-5573,1819-3978,,,CC BY
Agronomía Mesoamericana,http://revistas.ucr.ac.cr/index.php/agromeso,,1021-7444,2215-3608,Yes,http://revistas.ucr.ac.cr/index.php/agromeso/about/about,CC BY-NC-ND
Journal of Biomedical Science,http://www.jbiomedsci.com/,,1021-7770,1423-0127,,,CC BY
Journal of Food and Drug Analysis,http://www.journals.elsevier.com/journal-of-food-and-drug-analysis/,Yàowù shípǐn fēnxī,1021-9498,,,,CC BY-NC-ND
Archivos Latinoamericanos de Producción Animal,http://www.alpa.org.ve/ojs/index.php,Latin-American Archives of Animal Production,1022-1301,2075-8359,,,
Revista Iberoamericana de Educación,http://www.rieoei.org,RIE,1022-6508,1681-5653,,,
Innovaciones Educativas,http://investiga.uned.ac.cr/revistas/index.php/innovaciones,,1022-9825,,,,CC BY-NC
Nonlinear Processes in Geophysics,http://www.nonlinear-processes-in-geophysics.net/,NPG,1023-5809,1607-7946,Yes,http://www.nonlinear-processes-in-geophysics.net/about/article_level_metrics.html,CC BY
Journal für Urologie und Urogynäkologie,http://www.kup.at/journals/urologie/index.html,,1023-6090,1680-9424,,,
International Journal of Rotating Machinery,http://www.hindawi.com/journals/ijrm/,,1023-621X,1542-3034,,,CC BY
Journal für Mineralstoffwechsel,http://www.kup.at/journals/mineralstoffwechsel/index.html,,1023-7763,1680-9408,,,
IUCN Otter Specialist Group Bulletin,http://www.otterspecialistgroup.org/Bulletin/IUCNOSGBull.html,,1023-9030,,,,
Journal für Kardiologie,http://www.kup.at/journals/kardiologie/index.html,,1024-0098,1680-936X,,,
Mathematical Problems in Engineering,http://www.hindawi.com/journals/mpe/,,1024-123X,1563-5147,,,CC BY
Hong Kong Medical Journal,http://www.hkmj.org/,,1024-2708,2226-8707,,,
Journal of Dental Medicine,http://jdm.tums.ac.ir,,1024-641X,2008-2444,,,CC BY-NC
Buletinul Academiei de Ştiinţe a Republicii Moldova : Matematica,http://www.math.md/en/publications/basm/,,1024-7696,,,,
Agrisost,http://agrisost.reduc.edu.cu/index.php/agrisost,,,1025-0247,,,CC BY
VacciMonitor,http://www.finlay.sld.cu/vaccimonitor.htm,,1025-028X,1025-0298,,,
Scientific Journal of Hamadan University of Medical Sciences,http://www.umsha.ac.ir/SJH,,1025-4285,2251-662X,,,
Journal of Inequalities and Applications,http://www.journalofinequalitiesandapplications.com/,,1025-5834,1029-242X,,,CC BY
Health SA Gesondheid : Journal of Interdisciplinary Health Sciences,http://www.hsag.co.za,Health South Africa Gesondheid ,1025-9848,2071-9736,,,CC BY
Discrete Dynamics in Nature and Society,http://www.hindawi.com/journals/ddns,,1026-0226,1607-887X,,,CC BY
"Pachyderm : Journal of the African Elephant, African Rhino and Asian Rhino Specialist Groups",http://www.pachydermjournal.org,,1026-2881,1683-5018,,,
Austrian Journal of Statistics,http://www.ajs.or.at,Österreichische Zeitschrift für Statistik,1026-597X,,,,CC BY
South Asian Studies : A Research Journal of South Asian Studies,http://pu.edu.pk/home/journal/9,,1026-678X,,,,
Revista Mexicana de Ciencias Geológicas,http://satori.geociencias.unam.mx/,,1026-8774,,,,
Problemy Istoričeskoj Poètiki,http://poetica.pro,Problems of Historical Poetics,1026-9479,,,,CC BY-NC-ND
South African Journal of Radiology,http://www.sajr.org.za/,SAJR,1027-202X,2078-6778,,,CC BY-NC
Ciencias Holguín,http://www.redalyc.org/revista.oa?id=1815,,1027-2127,,,,
Stellenbosch Papers in Linguistics,http://spil.journals.ac.za,SPiL,1027-3417,2223-9936,,,CC BY
Matematychni Studii,http://www.matstud.org.ua,Matematičnì Studiï,1027-4634,,,,CC BY-NC-ND
Journal of Physical Studies,http://www.ktf.franko.lviv.ua/JPS/index.html,,1027-4642,,,,
European Integration Online Papers,http://eiop.or.at/eiop/,,1027-5193,,,,
Hydrology and Earth System Sciences,http://www.hydrology-and-earth-system-sciences.net/,HESS,1027-5606,1607-7938,Yes,http://www.hydrology-and-earth-system-sciences.net/about/article_level_metrics.html,CC BY
Pensamiento Constitucional,http://revistas.pucp.edu.pe/index.php/pensamientoconstitucional,,1027-6769,,,,CC BY
Bangladesh Journal of Plant Taxonomy,http://www.banglajol.info/index.php/BJPT,,1028-2092,,,,
Journal für Hypertonie,http://www.kup.at/journals/hypertonie/index.html,,1028-2327,1680-9378,,,
Dugesiana,http://dugesiana.cucba.udg.mx/,,1028-3420,,,,
Journal of Fundamentals of Mental Health,http://www.mums.ac.ir/mental_health/en/index,,1028-6918,1684-4300,,,
Bulletin of Educational Research,http://www.edubook.com.tw/OATw/home.aspx?no=1097,教育研究集刊,1028-8708,,,,CC BY-NC-ND
